Title,Studio,Content Rating,Year,Rating,Summary,Genres,Release Date,Writers,Duration,Directors,Roles
"Hail, Caesar!",Universal Pictures,PG-13,2016,5.7,"Tells the comedic tale of Eddie Mannix,
a fixer who worked for the Hollywood
studios in the 1950s. The story finds
him at work when a star mysteriously
disappears in the middle of filming.",Comedy - Drama - Mystery,2/5/2016,Joel Coen - Ethan Coen,1:41:44,Joel Coen - Ethan Coen,"Josh Brolin - George Clooney - Alden
Ehrenreich"
Harry Potter and the Chamber of Secrets,1492 Pictures,PG,2002,7.3,"Ignoring threats to his life, Harry
returns to Hogwarts to investigate –
aided by Ron and Hermione – a mysterious
series of attacks.",Adventure - Fantasy - Family,11/14/2002,Steve Kloves,2:54:24,Chris Columbus,"Daniel Radcliffe - Rupert Grint - Emma
Watson"
"Harry Potter and the Deathly Hallows:
Part 1",Warner Bros.,PG-13,2010,7.5,"Harry, Ron and Hermione walk away from
their last year at Hogwarts to find and
destroy the remaining Horcruxes, putting
an end to Voldemort's bid for
immortality. But with Harry's beloved
Dumbledore dead and Voldemort's
unscrupulous Death Eaters on the loose,
the world is more dangerous than ever.",Adventure - Fantasy - Family,11/19/2010,Steve Kloves,2:26:05,David Yates,"Daniel Radcliffe - Emma Watson - Rupert
Grint"
"Harry Potter and the Deathly Hallows:
Part 2",Warner Bros.,PG-13,2011,7.8,"Harry, Ron and Hermione continue their
quest to vanquish the evil Voldemort
once and for all. Just as things begin
to look hopeless for the young wizards,
Harry discovers a trio of magical
objects that endow him with powers to
rival Voldemort's formidable skills.",Adventure - Fantasy,7/15/2011,Steve Kloves,2:10:26,David Yates,"Daniel Radcliffe - Rupert Grint - Emma
Watson"
Harry Potter and the Goblet of Fire,Patalex IV Productions Limited,PG-13,2005,7.4,"Harry starts his fourth year at
Hogwarts, competes in the treacherous
Triwizard Tournament and faces the evil
Lord Voldemort. Ron and Hermione help
Harry manage the pressure – but
Voldemort lurks, awaiting his chance to
destroy Harry and all that he stands
for.",Adventure - Fantasy - Family,11/18/2005,Steve Kloves,2:37:05,Mike Newell,"Daniel Radcliffe - Rupert Grint - Emma
Watson"
Harry Potter and the Half-Blood Prince,Warner Bros.,PG,2009,7.4,"As Harry begins his sixth year at
Hogwarts, he discovers an old book
marked as 'Property of the Half-Blood
Prince', and begins to learn more about
Lord Voldemort's dark past.",Adventure - Fantasy - Family,7/8/2009,Steve Kloves,2:33:31,David Yates,"Daniel Radcliffe - Rupert Grint - Emma
Watson"
"Harry Potter and the Order of the
Phoenix",Warner Bros.,PG-13,2007,7.3,"Returning for his fifth year of study at
Hogwarts, Harry is stunned to find that
his warnings about the return of Lord
Voldemort have been ignored. Left with
no choice, Harry takes matters into his
own hands, training a small group of
students – dubbed 'Dumbledore's Army' –
to defend themselves against the dark
arts.",Adventure - Fantasy - Family,7/11/2007,Michael Goldenberg,2:18:14,David Yates,"Daniel Radcliffe - Rupert Grint - Emma
Watson"
Harry Potter and the Philosopher's Stone,1492 Pictures,PG,2001,7.4,"Harry Potter has lived under the stairs
at his aunt and uncle's house his whole
life. But on his 11th birthday, he
learns he's a powerful wizard -- with a
place waiting for him at the Hogwarts
School of Witchcraft and Wizardry. As he
learns to harness his newfound powers
with the help of the school's kindly
headmaster, Harry uncovers the truth
about his parents' deaths -- and about
the villain who's to blame.",Adventure - Fantasy - Family,11/14/2001,Steve Kloves,2:38:50,Chris Columbus,"Daniel Radcliffe - Rupert Grint - Emma
Watson"
Harry Potter and the Prisoner of Azkaban,1492 Pictures,PG,2004,7.6,"Harry, Ron and Hermione return to
Hogwarts for another magic-filled year.
Harry comes face to face with danger yet
again, this time in the form of escaped
convict, Sirius Black – and turns to
sympathetic Professor Lupin for help.",Adventure - Fantasy - Family,6/4/2004,Steve Kloves,2:21:42,Alfonso Cuarón,"Daniel Radcliffe - Rupert Grint - Emma
Watson"
The Hateful Eight,Double Feature Films,R,2015,7.5,"Bounty hunters seek shelter from a
raging blizzard and get caught up in a
plot of betrayal and deception.",Crime - Drama - Mystery,12/7/2015,Quentin Tarantino,2:47:44,Quentin Tarantino,"Samuel L. Jackson - Kurt Russell -
Jennifer Jason Leigh"
